iter	Passed	Remaining
0	63	63685
1	70	35087
2	75	25029
3	84	21079
4	96	19277
5	103	17094
6	108	15384
7	114	14240
8	120	13227
9	125	12420
10	254	22872
11	285	23485
12	322	24481
13	371	26193
14	406	26697
15	450	27727
16	473	27368
17	489	26698
18	524	27080
19	547	26823
20	559	26079
21	597	26572
22	616	26170
23	642	26142
24	659	25711
25	674	25282
26	691	24912
27	700	24319
28	716	23993
29	731	23655
30	747	23352
31	765	23169
32	780	22880
33	793	22558
34	800	22063
35	814	21806
36	826	21523
37	841	21313
38	854	21061
39	867	20831
40	879	20566
41	891	20323
42	917	20410
43	931	20247
44	945	20065
45	962	19951
46	1032	20929
47	1045	20740
48	1057	20527
49	1064	20232
50	1073	19980
51	1082	19735
52	1093	19537
53	1103	19326
54	1109	19056
55	1115	18799
56	1123	18588
57	1135	18441
58	1144	18253
59	1157	18139
60	1169	17995
61	1176	17804
62	1187	17661
63	1193	17448
64	1204	17321
65	1217	17224
66	1229	17124
67	1239	16988
68	1248	16841
69	1260	16750
70	1272	16644
71	1289	16617
72	1301	16523
73	1313	16434
74	1324	16338
75	1335	16242
76	1346	16146
77	1358	16058
78	1371	15985
79	1379	15865
80	1390	15777
81	1398	15653
82	1408	15558
83	1417	15454
84	1424	15338
85	1434	15247
86	1443	15151
87	1452	15053
88	1461	14955
89	1469	14854
90	1475	14743
91	1484	14647
92	1489	14527
93	1494	14407
94	1503	14320
95	1511	14236
96	1520	14152
97	1529	14079
98	1540	14019
99	1546	13920
100	1555	13843
101	1563	13765
102	1572	13693
103	1581	13623
104	1588	13541
105	1599	13486
106	1607	13413
107	1617	13357
108	1626	13297
109	1635	13231
110	1646	13185
111	1653	13113
112	1662	13051
113	1670	12985
114	1678	12916
115	1686	12850
116	1693	12783
117	1702	12721
118	1712	12676
119	1724	12645
120	1733	12593
121	1742	12537
122	1749	12475
123	1758	12423
124	1766	12368
125	1775	12313
126	1784	12267
127	1793	12219
128	1802	12170
129	1808	12101
130	1816	12048
131	1824	11995
132	1833	11950
133	1842	11907
134	1852	11870
135	1860	11818
136	1868	11769
137	1873	11700
138	1881	11653
139	1888	11598
140	1900	11576
141	1908	11534
142	1915	11479
143	1922	11428
144	1929	11376
145	1937	11335
146	1946	11293
147	1949	11224
148	1955	11168
149	1962	11122
150	1970	11077
151	1973	11011
152	1978	10951
153	1984	10901
154	1991	10859
155	1999	10815
156	2005	10769
157	2012	10725
158	2019	10682
159	2022	10618
160	2029	10575
161	2036	10533
162	2044	10495
163	2049	10447
164	2057	10410
165	2063	10369
166	2070	10325
167	2076	10286
168	2079	10225
169	2082	10169
170	2087	10120
171	2094	10081
172	2100	10042
173	2107	10002
174	2113	9965
175	2121	9931
176	2127	9891
177	2133	9850
178	2139	9814
179	2145	9773
180	2151	9733
181	2157	9698
182	2164	9661
183	2170	9623
184	2175	9585
185	2181	9547
186	2188	9514
187	2193	9472
188	2199	9435
189	2205	9401
190	2211	9368
191	2218	9336
